english,swedish,source,notes
blinding,blindning; maskering,ISI,
block,block,ISI,
bootstrap methods,bootstrap-metod,ISI,
bootstrap test,bootstrap-test,ISI,
box and whisker plot,lådagram med morrhår,ISI,
box plot,lådagram,ISI,
branching process ; Galton-Watson process ; multiplicative process,förgreningsprocess,ISI,
break point ; change point,brytpunkt,ISI,
Brownian bridge,brownsk brygga,ISI,
Brownian motion process,brownsk rörelseprocess,ISI,
Bruceton method ; staircase method ; up and down method,gafflingsmetod,ISI,
bulk sampling,bulkprovtagning,ISI,
bunching estimator,bunching-estimator,Lodefalk,
busy period,upptagetperiod,ISI,
calibration,kalibrering,ISI,
call-back,återkontakt,ISI,
canonical,kanonisk,ISI,
canonical correlation,kanonisk korrelation,ISI,
canonical matrix,kanonisk matris,ISI,
canonical variable,kanonisk variabel,ISI,
capture/release sampling ; capture/recapture sampling,fångst-återfångstmetod,ISI,
cartogram,kartogram,ISI,
cascade process,kaskadprocess,ISI,
case-control study ; case-referent study ; retrospective study ; choice-based sampling,fall-kontrollstudie,ISI,
catastrophe theory,katastrofteori,ISI,
categorical data,kategoriska data,ISI,
categorical distribution,kategorisk fördelning,ISI,
categorical variable,kategorisk variabel,ISI,
category,kategori,ISI,
causal chain model,kausalkedjemodell,ISI,
causal forest,kausal skog,Lodefalk,
causal inference,kausal inferens,Lodefalk,
causality,kausalitet,ISI,
cause-specific hazard function,orsaksspecifik hasardfunktion,ISI,
cell frequency ; class frequency,klassfrekvens,ISI,
censoring,censurering,ISI,
census,totalräkning; totalundersökning,ISI,
centile ; percentile,percentil,ISI,
central confidence interval,symmetriskt konfidensintervall,ISI,
central factorial moments,centralt faktoriellt moment,ISI,
central limit theorem,centrala gränsvärdessatsen,ISI,
central moment,centralmoment,ISI,
central tendency,centraltendens,ISI,
centroid method,centroidmetod,ISI,
chain,kedja,ISI,
chain graph,kedjegraf,ISI,
chain index,kedjeindex,ISI,
chance variation,slumpvariation,ISI,
change point estimator,brytpunktsestimator,ISI,
change point models,brytpunktsmodell,ISI,
change point problem ; disorder problem,brytpunktsproblem,ISI,
changeover trial,crossover-försök,ISI,
characteristic,karakteristika,ISI,
characteristic function,karakteristisk funktion,ISI,
characteristic functional,karakteristisk funktional,ISI,
characteristic root ; eigenvalue ; latent root (vector),egenvärde,ISI,
chi distribution,chi-fördelning,ISI,
chi-squared distribution,chitvå-fördelning,ISI,
chi-squared statistic,chitvå-statistika,ISI,
chi-squared test ; s-test,chitvå-test,ISI,
chunk sampling,bekvämlighetsurval,ISI,
circular chart ; circular diagram ; pie diagram ; pie chart ; sector chart,cirkeldiagram,ISI,
circular distribution,cirkulär fördelning,ISI,
circular histogram ; polar wedge diagram ; rose diagram,kompassrosdiagram,ISI,
circular mean deviation,cirkulär medelavvikelse,ISI,
