english,swedish,source,notes
multivariate negative binomial distribution ; negative multinomial distribution,flerdimensionell negativ binomialfördelning,ISI,
multivariate normal distribution,flerdimensionell normalfördelning,ISI,
multivariate processes,multivariat process,ISI,
multivariate quality control,multivariat kvalitetskontroll,ISI,
multivariate signed rank test,multivariat tecken-rangtest,ISI,
mutability ; variability,variabilitet,ISI,
natural conjugate prior,naturlig konjugerad apriorifördelning,ISI,
natural experiment,naturligt experiment,Lodefalk,
nearest-neighbour clustering ; single-linkage clustering,närmaste-granneklustring,ISI,
nearest-neighbour methods,närmaste-grannemetod,ISI,
nearly best linear estimator,nästan bästa linjära estimator,ISI,
negative hypergeometric distribution,negativ hypergeometrisk fördelning,ISI,
negative moments,moment av negativ ordning,ISI,
nested balanced incomplete block design,nästlad design med balanserade ofullständiga block,ISI,
nested case-control studies,nästlade fall-kontrollstudier,ISI,
nested design,nästlad design,ISI,
nested hypotheses,nästlade hypoteser,ISI,
nested methods,nästlad metod,ISI,
network sampling,nätverksurval,ISI,
neural network,neuralt nätverk,ISI,
new better than used distribution ; NBU distribution,NBU-fördelning,ISI,
noise,brus,ISI,
nomogram ; nomograph,nomogram,ISI,
non-central beta distribution,icke-central betafördelning,ISI,
non-central chi-square distribution ; non-central χ² distribution ; Rice distribution,icke-central chitvå-fördelning,ISI,
non-central confidence interval,icke-centralt konfidensintervall,ISI,
non-central F-distribution,icke-central F-fördelning,ISI,
non-central multivariate beta distribution,icke-central flerdimensionell betafördelning,ISI,
non-central multivariate F-distribution,icke-central flerdimensionell F-fördelning,ISI,
non-central t-distribution,icke-central t-fördelning,ISI,
non-centrality parameter,parameter för icke-centralitet,ISI,
non-compliance ; non-adherence,icke-följsamhet,ISI,
non-ignorable non-response,icke-ignorerbart bortfall,ISI,
non-normal population,icke-normalfördelad population,ISI,
non-parametric,icke-parametrisk,ISI,
non-parametric confidence intervals,icke-parametriskt konfidensintervall,ISI,
non-parametric delta method,icke-parametrisk deltametod,ISI,
non-parametric maximum likelihood,icke-parametrisk maximum likelihood,ISI,
non-parametric tolerance limits,icke-parametriska toleransgränser,ISI,
non-random sample,icke-slumpmässigt stickprov,ISI,
non-recurrent state,icke återkommande tillstånd,ISI,
non-regular estimator,icke-reguljär estimator,ISI,
non-response,bortfall,ISI,
non-sampling error,icke-urvalsfel,ISI,
non-singular distribution,icke-singulär fördelning,ISI,
nonlinear regression ; nonlinear model ; curvilinear regression ; skew regression,icke-linjär regression,ISI,
normal deviate ; Normit,värde på standardiserad normalfördelning,ISI,
normal distribution ; Gaussian distribution ; Laplace-Gauss distribution ; Gauss distribution ; second law of Laplace,normalfördelning,ISI,
normal equations,normalekvationer,ISI,
normal inspection,normal kontroll,ISI,
normal probability paper,normalfördelningspapper,ISI,
normal scores tests,normalscore-test,ISI,
normalisation of frequency function ; normalization of frequency function,normalisering av frekvensfunktion,ISI,
normalisation of scores ; normalization of scores,poängnormalisering,ISI,
normalising transformation ; normalizing transformation,normaliserande transformation,ISI,
nuisance parameters,störparameter,ISI,
null hypothesis,nollhypotes,ISI,
null recurrent state ; transient state,transient tillstånd,ISI,
numerical taxonomy ; taxonometry,numerisk taxonomi,ISI,
oblimax,oblimax,ISI,
oblique factor,oblik faktor,ISI,
observable variable,observerbar variabel,ISI,
observational error,observationsfel,ISI,
observational study,observationsstudie,ISI,
observed at random ; OAR,slumpmässigt observerat,ISI,
observed information matrix,observerad informationsmatris,ISI,
occupancy problems,beläggningsproblem,ISI,
octiles,oktiler,ISI,
odds,odds,ISI,
official statistics,officiell statistik,ISI,
omitted variable bias,snedvridning från utelämnade variabler,Lodefalk,
one-way classification,envägsindelning,ISI,
open sequential scheme,öppen sekventiell urvalsplan,ISI,
open-ended classes,öppen klass,ISI,
open-ended question,öppen fråga,ISI,
operating characteristic,acceptanssannolikhet,ISI,
operational research (br.) ; operations research (am.),operationsanalys,ISI,
opinion survey ; opinion poll,opinionsundersökning,ISI,
optimal stopping rule,optimal stoppregel,ISI,
optimum allocation,optimal allokering,ISI,
optimum linear predictor,optimal linjär prediktor,ISI,
optimum stratification,optimal stratifiering,ISI,
optimum test,optimalt test,ISI,
order of interaction,samspelsordning,ISI,
order of stationarity,stationaritetsordning,ISI,
order statistics,ordningsstatistika,ISI,
ordered alternative hypothesis,ordnad mothypotes,ISI,
ordered categorisation ; ordered categorization,ordnad kategorisering,ISI,
orderly stationary point process ; regular stationary point process,reguljär stationär punktprocess,ISI,
orthogonal,ortogonal,ISI,
orthogonal arrays,ortogonal uppställning,ISI,
orthogonal design,ortogonal design,ISI,
orthogonal functions,ortogonala funktioner,ISI,
orthogonal polynomials,ortogonala polynom,ISI,
orthogonal process,ortogonal process,ISI,
orthogonal projection,ortogonal projektion,ISI,
orthogonal regression,ortogonal regression,ISI,
orthogonal squares,ortogonala kvadrater,ISI,
orthogonal tests ; independent tests,ortogonala test,ISI,
orthogonal variable transformation,ortogonal variabeltransformation,ISI,
orthonormal system,ortonormalt system,ISI,
oscillation,svängning,ISI,
oscillatory process,oscillerande process,ISI,
outcome,utfall,ISI,
outlier prone distribution,outlier-benägen fördelning,ISI,
outliers,outlier; avvikande värde,ISI,
over-identification,överidentifiering,ISI,
overdispersion,överdispersion,ISI,
overlapping sampling units,överlappande urvalsenheter,ISI,
P-P plot,P-P-plott,ISI,
p-value,p-värde,ISI,
paired comparison,parvis jämförelse,ISI,
paired t-test,parat t-test,ISI,
pairwise independence,parvist oberoende,ISI,
panel data,paneldata,ISI,
panel study,panelstudie,ISI,
parallel line assay,parallell-linje-assay,ISI,
parallel trends assumption,parallella trender,Lodefalk,DiD key assumption
parameter,parameter,ISI,
parameter of location,lägesparameter,ISI,
parameter of scale,skalparameter,ISI,
parameter orthogonality,parameterortogonalitet,ISI,
parameter point,parameterpunkt,ISI,
parametric hypothesis ; parameter hypothesis,parametrisk hypotes,ISI,
parametric programming,parametrisk programmering,ISI,
partial association,partiellt samband,ISI,
partial confounding,partiell confounding,ISI,
partial contingency,partiell kontingens,ISI,
partial correlation,partiell korrelation,ISI,
partial correlogram,partiellt korrelogram,ISI,
partial least squares ; PLS,partiell minsta-kvadrat,ISI,
partial rank correlation,partiell rangkorrelation,ISI,
partial regression,partiell regression,ISI,
partial replacement,partiell återläggning,ISI,
partial serial correlation ; partial autocorrelation,partiell autokorrelation,ISI,
partially balanced arrays,partiellt balanserad uppställning,ISI,
partially balanced incomplete block design,partiellt balanserad ofullständig block-design,ISI,
partially balanced lattice,partiellt balanserat gitter,ISI,
partially balanced linked block design,partiellt balanserad kopplad block-design,ISI,
partially consistent observations,partiellt konsistenta observationer,ISI,
partially linked block design,partiellt kopplad block-design,ISI,
partition of chi-squared ; partition of χ²,uppspjälkning av chi-två,ISI,
path analysis,stiganalys,ISI,
pattern recognition,mönsterigenkänning,ISI,
patterned sampling ; systematic sample,systematiskt urval,ISI,
pay-off matrix,betalmatris,ISI,
peak ; peak value,toppvärde,ISI,
penalised estimation ; penalized estimation,penaliserad estimation,ISI,
penalised least squares ; penalized least squares,penaliserat minsta-kvadratkriterium,ISI,
penalised likelihood ; penalized likelihood,penaliserad likelihood,ISI,
penalised quasi-likelihood ; penalized quasi-likelihood,penaliserad kvasi-likelihood,ISI,
percentage diagram,procentdiagram,ISI,
percentage distribution,procentuell fördelning,ISI,
percentile confidence interval,percentilbaserat konfidensintervall,ISI,
percolation process,perkolationsprocess,ISI,
performance characteristic,prestandaegenskap,ISI,
period,period,ISI,
period of a state,period för tillstånd,ISI,
periodic process,periodisk process,ISI,
periodogram ; Schuster periodogram,periodogram,ISI,
permissible estimator,tillåten skattning,ISI,
persistency,persistens,ISI,
persistent state ; positive recurrent state,persistent tillstånd,ISI,
person-years,personår,ISI,
perturbation techniques,perturbationsteknik,ISI,
phase,fas,ISI,
phase diagram,fasdiagram,ISI,
phase function,fasfunktion,ISI,
phase spectrum,fasspektrum,ISI,
pictogram,piktogram,ISI,
piecewise regression ; segmented regression,styckvis regression,ISI,
pilot survey ; pilot sample,provundersökning; pilotundersökning,ISI,
pivotal quantity,pivåvariabel,ISI,
placebo,placebo,ISI,
placebo test,placebotest,Lodefalk,
platykurtosis,lågtoppighet,ISI,
plot,plott; provyta,ISI,
point biserial correlation,punktbiserial korrelation,ISI,
point bivariate distribution ; bivariate distribution of two discrete variables,diskret bivariat fördelning,ISI,
point estimation,punktskattning,ISI,
point of control ; point of indifference,indifferenspunkt,ISI,
point process,punktprocess,ISI,
point sampling,punkturval,ISI,
polychoric correlation,polykorisk korrelation,ISI,
polycross designs,polycross-design,ISI,
polynomial regression,polynomregression,ISI,
polynomial trend,polynomtrend,ISI,
polyspectra,polyspektrum,ISI,
polytomic table,polytom tabell,ISI,
pooling of classes,klass-sammanslagning,ISI,
pooling of error,poolning av fel,ISI,
population genetics,populationsgenetik,ISI,
positive binomial distribution,positiv binomialfördelning,ISI,
positive hypergeometric distribution,positiv hypergeometrisk fördelning,ISI,
positive skewness,positiv snedhet,ISI,
posterior probability,aposteriorisannolikhet,ISI,
power ; strength of a test,styrka,ISI,
power function,styrkefunktion,ISI,
power spectrum ; spectral function,spektralfunktion,ISI,
power transformation,potenstransformation,ISI,
pre-trend test,förtrendstest,Lodefalk,
pre-whitening,för-blekning,ISI,
precedence test,underskottstest,ISI,
precision,precision,ISI,
precision matrix,precisionsmatris,ISI,
predetermined variable,förutbestämd variabel,ISI,
prediction interval,prediktionsintervall,ISI,
predictive decomposition,prediktiv spjälkning,ISI,
predictive inference,prediktiv inferens,ISI,
predictive likelihood,prediktiv likelihood,ISI,
predictive regression analysis,prediktiv regressionsanalys,ISI,
preference table,preferenstabell,ISI,
prevalence ; prevalence rate,prevalens,ISI,
price compensation index,priskompensationsindex,ISI,
price index,prisindex,ISI,
price relative,relativpris,ISI,
primary unit,primärenhet,ISI,
principal components,principalkomponent,ISI,
principal components regression,principalkomponentregression,ISI,
principal coordinates analysis,principalkoordinatanalys,ISI,
prior probability ; a priori probability,apriorisannolikhet,ISI,
priority queuing,prioriterad köordning,ISI,
probability,sannolikhet,ISI,
probability density function ; PDF ; frequency function,täthetsfunktion,ISI,
probability distribution,sannolikhetsfördelning,ISI,
probability element,sannolikhetselement,ISI,
probability limits,sannolikhetsgräns,ISI,
probability mass,sannolikhetsmassa,ISI,
probability paper,sannolikhetspapper,ISI,
probability plot,sannolikhetsdiagram,ISI,
probability ratio test,likelihood-kvottest,ISI,
probability sampling,sannolikhetsurval,ISI,
probability surface,sannolikhetsyta,ISI,
probit,probit,ISI,
probit analysis,probitanalys,ISI,
probit regression line,probitregression,ISI,
procedural bias,procedur-bias,ISI,
process average fraction defective,genomsnittlig felkvot för process,ISI,
processing error,bearbetningsfel,ISI,
producer's risk,producentrisk,ISI,
product moment ; joint moment ; multivariate moment,produktmoment,ISI,
product moment correlation ; Pearson coefficient of correlation,produktmomentkorrelation,ISI,
profile analysis ; analysis of variance of longitudinal data,profilanalys,ISI,
profile likelihood,profil-likelihood,ISI,
prognostic factor,prognostisk faktor,ISI,
progressive average,progressivt medelvärde,ISI,
progressively censored sampling,progressivt censurerat urval,ISI,
projection,projektion,ISI,
propensity score,benägenhetspoäng,Lodefalk,
propensity score matching,propensity score-matchning,Lodefalk,
proper distribution,egentlig fördelning,ISI,
proportional frequency,relativ frekvens,ISI,
proportional hazards model ; Cox model,proportionell-hasardmodell,ISI,
proportional odds model,proportionella-oddsmodell,ISI,
proportional sampling,proportionellt urval,ISI,
prospective study ; historical prospective study,prospektiv studie,ISI,
protocol,protokoll,ISI,
proximity analysis,proximitetsanalys,ISI,
pseudo-factor,pseudofaktor,ISI,
pseudo-likelihood,pseudo-likelihood,ISI,
pseudo-random numbers,pseudoslumptal,ISI,
pseudo-spectrum,pseudospektrum,ISI,
psychometrics,psykometri,ISI,
publication bias,publicerings-bias,ISI,
pure birth process,födelseprocess,ISI,
pure random process ; random process ; stochastic process ; stable process (distribution) ; stationary process ; stationary stochastic process,stokastisk process,ISI,
pure strategy,enkel strategi,ISI,
purposive sample,bedömningsurval; avsiktsbaserat urval,ISI,
Q-Q plot,Q-Q-plot,ISI,
Q-technique,Q-teknik,ISI,
quadrat,kvadrat,ISI,
quadratic estimator,kvadratisk skattningsfunktion,ISI,
quadratic exponential model,kvadratisk exponentialmodell,ISI,
quadratic form,kvadratisk form,ISI,
quadratic mean,kvadratiskt medel,ISI,
quadratic programming,kvadratisk programmering,ISI,
quadratic response,kvadratisk respons,ISI,
quadrature spectrum,kvadraturspektrum,ISI,
qualitative data,kvalitativa data,ISI,
qualitative interaction,kvalitativt samspel,ISI,
quality adjusted life year,kvalitetsjusterade levnadsår,ISI,
quality control ; quality inspection ; statistical quality control,kvalitetsstyrning; kvalitetskontroll,ISI,
quality control chart,kvalitetsstyrdiagram,ISI,
quality of life,livskvalitet,ISI,
quantal response,kategori-indelad respons,ISI,
quantitative data,kvantitativa data,ISI,
quantitative response,kvantitativ respons,ISI,
quantity relative,relativkvantitet,ISI,
quantum index,kvantitetsindex,ISI,
quartile,kvartil,ISI,
quartile deviation ; semi-interquartile range,kvartilavvikelse,ISI,
quartile measure of skewness,kvartilbaserat snedhetsmått,ISI,
quartile variation,kvartilvariation,ISI,
quasi-compact cluster,kvasikompakt kluster,ISI,
quasi-experiments,kvasiexperiment,ISI,
quasi-factorial design,kvasifaktoriell försöksplan,ISI,
quasi-independence,kvasioberoende,ISI,
quasi-Latin square,kvasi-romersk kvadrat,ISI,
quasi-likelihood,kvasi-likelihood,ISI,
quasi-Markov chain,kvasi-markovkedja,ISI,
quasi-median,kvasimedian,ISI,
questionnaire ; schedule,frågeformulär,ISI,
queueing problem,köproblem,ISI,
quintiles,kvintil,ISI,
quota sample,kvotasampel,ISI,
quotient regression,kvotregression,ISI,
R-estimator,R-skattning,ISI,
R-process,R-process,ISI,
R-technique,R-teknik,ISI,
radix,radix,ISI,
raising factor,uppräkningsfaktor,ISI,
random,slumpmässig; slump-,ISI,
random coefficient model,modell med slumpmässiga koefficienter,ISI,
random component,slumpkomponent,ISI,
random effects model,modell med slumpmässiga effekter,Lodefalk,
random error,slumpfel; slumpmässigt fel,ISI,
random event,slumphändelse,ISI,
random impulse process,process med slumpmässiga impulser,ISI,
random linear graph,linjär slumpgraf,ISI,
random number generator,slumptalsgenerator,ISI,
random order,slumpmässig ordning,ISI,
random sample,slumpmässigt stickprov,ISI,
random sampling numbers ; random numbers ; random digits,slumptal,ISI,
random selection,slumpurval,ISI,
random series,slumpserie,ISI,
random start,slumpmässig start,ISI,
random walk,slumpvandring,ISI,
randomisation ; randomization,randomisering,ISI,
randomisation tests ; randomization tests ; permutation tests,randomiseringstest,ISI,
randomised blocks ; randomized blocks,randomiserade block,ISI,
randomised controlled trial (RCT),randomiserad kontrollerad studie,Lodefalk,
randomised decision function ; randomized decision function,randomiserad beslutsfunktion,ISI,
randomised fractional factorial designs ; randomized fractional factorial designs,randomiserad fraktionell faktoriell design,ISI,
randomised response ; randomized response,randomiserad respons,ISI,
range,variationsvidd,ISI,
range chart,variationsviddsdiagram,ISI,
rank,rang,ISI,
rank correlation,rangkorrelation,ISI,
rank order statistics,rangstatistika,ISI,
rank scores ; rank transformation,rangtal,ISI,
rank-randomisation tests ; rank-randomization tests,randomiserat test baserat på rang,ISI,
rank-weighted mean,rang-vägt medelvärde,ISI,
rankit,rankit,ISI,
ratio,kvot,ISI,
ratio estimator,kvotestimator,ISI,
ratio scale,kvotskala,ISI,
raw moment,råmoment,ISI,
raw score,råpoäng,ISI,
realisation ; realization,realisering,ISI,
records tests,rekordtest,ISI,
recovery of information,informationsåtervinnande,ISI,
rectangular distribution ; uniform distribution,likformig fördelning,ISI,
rectangular lattice,rektangulärt gitter,ISI,
rectified index number,rektifierat indextal,ISI,
rectifying inspection,kontroll följd av rättning,ISI,
recurrence time,återkomsttid,ISI,
recurrent Markov chain,rekurrent markovkedja,ISI,
recurrent state,återkommande tillstånd,ISI,
recursive algorithm,rekursiv algoritm,ISI,
recursive system,rekursivt system,ISI,
reduced design,reducerad design,ISI,
reduced equations,reducerade ekvationer,ISI,
reduced inspection,reducerad kontroll,ISI,
reduced sample,reducerat stickprov,ISI,
reduction of data,reducering av data,ISI,
reference prior distribution,referens-apriorifördelning,ISI,
reflecting barrier,reflekterande barriär,ISI,
refusal rate,andel vägrare,ISI,
regenerative process,regenerativ process,ISI,
regression,regression,ISI,
regression coefficient ; regression weight,regressionskoefficient,ISI,
regression curve ; regression line,regressionskurva,ISI,
regression diagnostics,regressionsdiagnostik,ISI,
regression discontinuity design (RDD),regressionssprångdesign,Lodefalk,
regression estimate,regressionsskattning,ISI,
regression kink design (RKD),regressionskröksdesign,Lodefalk,
regression surface,regressionsyta,ISI,
regressogram,regressogram,ISI,
regret,ånger; regret,ISI,
regular estimator,reguljär skattning,ISI,
regular state,reguljärt tillstånd,ISI,
rejection line,avvisningslinje,ISI,
rejection number,avvisningstal,ISI,
relative efficiency (of a sample design),relativ effektivitet,ISI,
relative efficiency (of a test) ; power efficiency,relativ effektivitet (av ett test),ISI,
relative efficiency (of an estimator),relativ effektivitet (av en estimator),ISI,
relative frequency,relativ frekvens,ISI,
relative information,relativ information,ISI,
relative potency,relativ potens,ISI,
relative precision,relativ precision,ISI,
relative risk ; odds ratio,relativ risk,ISI,
relative variance ; relvariance,relativ varians,ISI,
reliability,reliabilitet; tillförlitlighet,ISI,
reliability coefficient ; self-correlation coefficient,reliabilitetskoefficient,ISI,
REML ; reduced maximum likelihood ; restricted maximum likelihood,reducerad maximum likelihood,ISI,
remote sensing,fjärranalys,ISI,
renewal density,förnyelsetäthet,ISI,
renewal distribution,förnyelsefördelning,ISI,
renewal function,förnyelsefunktion,ISI,
renewal process,förnyelseprocess,ISI,
renewal theorem,förnyelsesats,ISI,
renewal theory,förnyelseteori,ISI,
repeated survey,upprepad undersökning,ISI,
repetition,upprepning,ISI,
replacement,återläggning,ISI,
replication,replikation,ISI,
representative sample,representativt urval,ISI,
reproducibility,reproducerbarhet,ISI,
resampling procedure,återsamplingsförfarande,ISI,
residual,residual,ISI,
residual treatment effect ; residual effect ; carry over effect ; treatment-period interaction,kvarstående behandlingseffekt; carry-over-effekt,ISI,
residual waiting time,återstående väntetid,ISI,
response,respons; svar,ISI,
response error,svarsfel,ISI,
response metameter,responsmetameter,ISI,
response surface,responsyta,ISI,
response surface designs,responsytedesign,ISI,
response time distribution,svarstidsfördelning,ISI,
restricted randomisation ; restricted randomization,villkorad randomisering,ISI,
restricted sequential procedure,begränsad sekventiell procedur,ISI,
return level,återkomstnivå,ISI,
return period ; return time,återkomstperiod,ISI,
return states,återkomsttillstånd,ISI,
reversal test,omkastningstest,ISI,
reversible relation,reversibelt samband,ISI,
ridge regression,ridge-regression,ISI,
right-censoring,högercensurering,ISI,
right-truncation,högertrunkering,ISI,
risk ; average loss ; expected loss,risk,ISI,
risk factor,riskfaktor,ISI,
risk function,riskfunktion,ISI,
risk ratio,riskkvot,ISI,
robust estimators,robust estimator,ISI,
robustness,robusthet,ISI,
rotatable design,roterbar försöksplan,ISI,
rotation,rotation,ISI,
rotation sampling,roterande urval,ISI,
Round Robin design,Round Robin-design,ISI,
rounding,avrundning,ISI,
route sampling,rutt-sampling,ISI,
ruin problems,ruinproblem,ISI,
runs,svit,ISI,
saddle point,sadelpunkt,ISI,
sample,stickprov; sampel; urval,ISI,
sample design ; sample plan ; survey design ; sampling plan ; sampling design,urvalsplan,ISI,
sample moment ; sampling moment,stickprovsmoment,ISI,
sample point,stickprovspunkt,ISI,
sample size,stickprovsstorlek,ISI,
sample statistic ; statistic ; statistics,statistika;  stickprovsvariabel; stickprovsfunktion,ISI,
sample survey ; sampling survey ; survey,stickprovsundersökning,ISI,
sample unit,urvalsenhet,ISI,
sample variance ; sampling variance,stickprovsvarians,ISI,
sampling distribution,samplingfördelning,ISI,
sampling error,urvalsfel,ISI,
sampling for attribute,attributprovtagning,ISI,
sampling fraction ; sampling ratio,urvalsfraktion,ISI,
sampling frame,urvalsram,ISI,
sampling inspection,provtagningskontroll,ISI,
sampling interval,stickprovsintervall,ISI,
sampling on successive occasions,urval vid successiva tillfällen,ISI,
sampling unit,urvalsenhet,ISI,
sampling with replacement,urval med återläggning,ISI,
saturated model,exakt mättad modell,ISI,
saturation,mättningsgrad,ISI,
scale equivariant estimator,skalekvivariant estimator,ISI,
scale parameter,skalparameter,ISI,
scatter diagram ; scattergram ; scatter plot,punktdiagram; spridningsdiagram,ISI,
scedasticity,skedasticitet,ISI,
scheme of hidden periodicity,förlopp med dold periodicitet,ISI,
score,poäng; score,ISI,
score equation,score-ekvation,ISI,
score statistic,score-statistika,ISI,
score vector,score-vektor,ISI,
screening design,screening-plan; sållningsplan,ISI,
screening inspection,screening-kontroll; sållningskontroll,ISI,
seasonal variation ; seasonal fluctuation,säsongvariation,ISI,
second-order analysis,andra ordningens analys,ISI,
second-order stationary ; second-order stationarity,andra ordningens stationaritet,ISI,
secondary process,sekundärprocess,ISI,
secondary unit ; second- stage unit,andrastegsenhet,ISI,
secular trend ; long-time trend ; trend,trend,ISI,
selection bias,urvals-bias,ISI,
selection with arbitrary probability ; selection with variable probability,urval med godtyckliga sannolikheter,ISI,
selection with equal probability,urval med lika sannolikheter,ISI,
selection with probability proportional to size,urval med storleksproportionella sannolikheter,ISI,
self-avoiding random walks,självundvikande slumpvandring,ISI,
self-conjugate Latin square,symmetrisk romersk kvadrat,ISI,
self-weighting sample ; self-weighted sample,självvägande urval,ISI,
semi-Latin square,semiromersk kvadrat,ISI,
semi-logarithmic chart ; semi-logarithmic graph,semilogaritmiskt diagram,ISI,
semi-Markov process,semimarkovprocess,ISI,
semi-martingale,semimartingal,ISI,
semi-stable law,semistabil fördelning,ISI,
semi-stationary process,semistationär process,ISI,
semivariogram,semivariogram,ISI,
sensitivity analysis,känslighetsanalys,ISI,
sensitivity and specificity,sensitivitet och specificitet,ISI,
sensitivity function,känslighetsfunktion,ISI,
sequential analysis,sekventiell analys,ISI,
sequential estimation,sekventiell estimation,ISI,
sequential test,sekventiellt test,ISI,
serial dilution assay,seriell utspädnings-assay,ISI,
series ; statistical series,serie,ISI,
shape,form,ISI,
shape parameter,formparameter,ISI,
sharp regression discontinuity,skarp regressionssprångdesign,Lodefalk,
shock and error model,chock- och felmodell,ISI,
shock model,chockmodell,ISI,
short-term fluctuation,korttidsvariationer,ISI,
shortest confidence intervals ; most selective confidence intervals,kortaste konfidensintervall,ISI,
shot noise,hagelbrus,ISI,
sigmoid curve ; sigmoid ; S-curve,sigmoid kurva; S-kurva,ISI,
sign test,teckentest,ISI,
signed rank test ; Wilcoxon's matched pairs rank test,rangteckentest,ISI,
significance,signifikans,ISI,
similarity,likhet; similaritet,ISI,
similarity index,likhetsindex,ISI,
simple hypothesis,enkel hypotes,ISI,
simple lattice design,enkel gitterplan,ISI,
simple random sampling,enkelt slumpmässigt urval; obundet slumpmässigt urval,ISI,
simple structure,enkel struktur,ISI,
simplex algorithm,simplexalgoritm,ISI,
simplex designs,simplex-design,ISI,
simplex method,simplexmetod,ISI,
simplex models,simplexmodell,ISI,
simulation model,simuleringsmodell,ISI,
simultaneous confidence intervals,simultana konfidensintervall,ISI,
simultaneous estimation,simultan estimation,ISI,
simultaneous tolerance intervals,simultana toleransintervall,ISI,
single factor theory,enfaktorteori,ISI,
single-blind,enkelblind,ISI,
singular distribution,singulär fördelning,ISI,
six point assay,sexpunkts-assay,ISI,
size,storlek,ISI,
size of a test,signifikansnivå,ISI,
skew distribution,sned fördelning,ISI,
slippage test,förskjutningstest,ISI,
slope ratio assay,lutningskvots-assay,ISI,
slowly varying function,långsamt varierande funktion,ISI,
smoothing ; graduation,utjämning,ISI,
smoothing power,utjämningsförmåga,ISI,
snowball sampling,snöbollsurval,ISI,
sojourn time,uppehållstid,ISI,
space-time clustering,rum-tidsklustring,ISI,
spatial point process,spatial punktprocess,ISI,
spatial statistics,rumslig statistik,ISI,
spatial systematic sample,systematiskt urval i rummet,ISI,
specific factor,specifik faktor,ISI,
specific rate,specifik kvot; specifikt tal,ISI,
specification bias ; specification error,specifikationsfel,ISI,
specificity,specificitet,ISI,
spectral average,spektralmedelvärde,ISI,
spectral decomposition,spektralspjälkning,ISI,
spectral density function,spektraltäthetsfunktion,ISI,
spectral distribution function,spektralfördelningsfunktion,ISI,
spectral weight function ; spectral window,spektralviktsfunktion,ISI,
spectrum,spektrum,ISI,
spent waiting time,förbrukad väntetid,ISI,
spherical distribution,sfärisk fördelning,ISI,
spherical mean direction,sfärisk medelriktning,ISI,
spherical normal distribution,sfärisk normalfördelning,ISI,
spherical standard error,sfäriskt medelfel,ISI,
spherical variance,sfärisk varians,ISI,
spherical variance function,sfärisk variansfunktion,ISI,
spherically symmetric distributions,sfäriskt symmetrisk fördelning,ISI,
splicing,skarvning,ISI,
spline estimate,spline-estimat,ISI,
split half method ; split test method,halveringsmetod,ISI,
split plot design ; split plot method,splitplot-försök,ISI,
spreadsheet,kalkylblad,ISI,
spurious correlation,skenbar korrelation; nonsenskorrelation,ISI,
square lattice,gitterkvadrat,ISI,
square root transformation,kvadratrotstransformation,ISI,
squariance ; sum of squares about the mean,kvadratsumma,ISI,
stabilisation of variance ; stabilization of variance,variansstabilisering,ISI,
stability test,stabilitetstest,ISI,
stable law,stabil fördelning,ISI,
stable state,stabilt tillstånd,ISI,
staggered adoption design,stegvis implementeringsdesign,Lodefalk,
staggered difference-in-differences,stegvis skillnad-i-skillnader,Lodefalk,
staircase design,trappstegs-design,ISI,
staircase distribution,trappstegsfördelning,ISI,
standard deviation ; standard deviate,standardavvikelse,ISI,
standard error,medelfel,ISI,
standard error of estimate,estimats medelfel,ISI,
standard Latin square,standardiserad romersk kvadrat,ISI,
standard measure,standardiserat mått,ISI,
standard population,standardpopulation,ISI,
standard score ; z-score,standardiserad poäng,ISI,
standardised deviate ; standardised deviate,standardiserad variabel,ISI,
standardised mortality ratio ; standardized mortality ratio ; SMR,standardiserat dödstal,ISI,
standardised variable ; standardized variable,standardiserad variabel,ISI,
stationary distribution,stationär fördelning,ISI,
stationary population,stationär population,ISI,
statistical decision function,statistisk beslutsfunktion,ISI,
statistical graphics,statistisk grafik,ISI,
statistical hypothesis,statistisk hypotes,ISI,
statistical literacy,statistisk allmänbildning,ISI,
statistical population,statistisk population,ISI,
statistical tolerance interval,statistiskt toleransintervall,ISI,
statistical tolerance limit ; prediction limit,statistisk toleransgräns,ISI,
statistical tolerance region,statistisk toleransregion,ISI,
statistically equivalent block,statistiskt likvärdiga block,ISI,
stem and leaf display ; stem and leaf plot ; stem and leaf diagram,stam-och-blad-diagram,ISI,
stepwise regression,stegvis regression,ISI,
stereogram,stereogram,ISI,
stereology,stereologi,ISI,
stochastic,stokastisk; slump-; slumpmässig,ISI,
stochastic approximation procedure,stokastisk approximationsprocedur,ISI,
stochastic convergence,stokastisk konvergens,ISI,
stochastic dependence,stokastiskt beroende,ISI,
stochastic disturbance,stokastisk störning,ISI,
stochastic kernel,stokastisk kärna,ISI,
stochastic matrix,stokastisk matris,ISI,
stochastic model ; statistical model,stokastisk modell,ISI,
stochastic programming,stokastisk programmering,ISI,
stochastic transitivity,stokastisk transitivitet,ISI,
stochastic variable ; variable ; random variable ; random variate ; variate,slumpvariabel; stokastisk variabel,ISI,
stochastic volatility,stokastisk volatilitet,ISI,
stochastically larger or smaller,stokastiskt större eller mindre,ISI,
stopping rule,stoppregel,ISI,
strata chart,ackumulerat linjediagram; ytdiagram,ISI,
strategy,strategi,ISI,
stratification,stratifiering,ISI,
stratification after selection,efterstratifiering; poststratifiering,ISI,
stratified sample,stratifierat urval,ISI,
stratum,stratum,ISI,
strictly dominated estimator,"strikt dominerad estimator; strängt 
dominerad estimator",ISI,
