english,swedish
graduation curve,utjämningsskurva
Graeco-Latin square,grekisk-romersk kvadrat
graphical estimator,grafisk estimator
graphical model,grafisk modell
grid,rutnät
group,grupp
group comparison,gruppjämförelse
group divisible design ; group divisible PBIB,gruppdelbar försöksplan
group divisible incomplete block design,gruppdelbar försöksplan med ofullständiga block
group divisible rotatable designs,gruppdelbar roterbar försöksplan
group factor,gruppfaktor
group screening methods,gruppsållningsmetod
group sequential design,gruppsekventiell försöksplan
group testing,grupptestning
grouped Poisson distribution,grupperad poissonfördeling
grouping lattice,gitter för gruppindelning
growth curve,tillväxtkurva
g-statistics,g-statistika
Guttman scaling,guttmanskalning
half-invariant ; semi-invariant,semi-invariant
half-normal distribution ; semi-normal distribution,semi-normal fördelning
half-normal plot,halv-normalplott
half-normal probability paper,halv-normalfördelningspapper
half-width ; semi-range,halv intervallängd
harmonic analysis,harmonisk analys
harmonic dial,harmoniskt klockdiagram
harmonic distribution,harmonisk fördelning
harmonic mean,harmoniskt medelvärde
harmonic process,harmonisk process
harmonic regression,harmonisk regression
hat matrix,hattmatris
hazard rate distribution,hasardfördelning
heterogeneity,heterogenitet
heterokurtic,oliktoppig
heteroscedastic,heteroskedastisk
hidden Markov model,dold markovmodell
hierarchical birth and death process,hierarkisk födelse-dödsprocess
hierarchical classification ; nested classification,hierarkisk klassificering
hierarchical cluster analysis,hierarkisk klusteranalys
hierarchical group divisible design,hierarkisk grupp-delbar försöksplan
hierarchical model,hierarkisk modell
hierarchy,hierarki
high-low graph,min-maxdiagram
histogram,histogram
historical controls,historiska kontroller
hitting point,träfftidpunkt
homogeneity,homogenitet
homogeneous process,homogen process
homokurtic,liktoppig
homoscedastic,homoskedastisk
honest process,reguljär process
horseshoe effect,hästskoeffekt
hot deck method,hot deck-metod
hyperexponential distribution,hyperexponentialfördelning
hypergeometric distribution,hypergeometrisk fördelning
hypergeometric waiting time distribution ; inverse hypergeometric distribution,hypergeometrisk väntetidsfördelning
hyper-Graeco-Latin square,hyper-grekisk-romersk kvadrat
hyper-spherical normal distribution,hypersfärisk normalfördelning
hypothesis testing ; testing of hypothesis,hypotesprövning
hypothetical population,hypotetisk population
ideal index number,idealt index
identical errors,likafördelade fel
identifiability,identifierbarhet
idle period,inaktiv period
ill-conditioned,illakonditionerad
illness-death model,sjukdom-död-modell
illusory association ; illusory correlation ; nonsense correlation,nonsenskorrelation
image analysis,bildanalys
image processing,bildbehandling
imbedded process,inbäddad process
immigration,immigration
improper distribution,oegentlig fördelning
improper prior,oegentlig aprioriföredelning
impulse response function,impulssvarsfördelning
imputation,imputering
inadmissible estimator,dominerad estimator
incidence,incidens
incidence rate,incidenstal
inclusion probability,inklusionssannolikhet
incomplete beta function,ofullständig betafunktion
incomplete block,ofullständigt block
incomplete census,ofullständig totalundersökning
incomplete data,ofullständiga data
incomplete gamma function,ofullständig gammafunktion
incomplete Latin square ; Youden square,ofullständig romersk kvadrat
incomplete multi-response design,ofullständig multi-responsdesign
inconsistent estimator,inkonsistent estimator
increasing failure rate,växande felintensitet
increasing hazard rate,växande hasard
independence,oberoende
independent censoring,oberoende censurering
independent trials,oberoende försök
independent variable ; cause variable ; explanatory variable ; fixed variable ; predicated variable ; predictor ; predictor variable ; regressor,förklarande variabel; oberoende variabel
index number ; index,indextal
indicator function,indikatorfunktion
indicator variable,indikatorvariabel
indifference,indifferens
indirect least squares,indirekt minsta-kvadratmetod
indirect sampling,indirekt urval
indirect standardisation ; indirect standardization,indirekt standardisering
induction,induktion
inefficient estimator,icke-effektiv estimator
inefficient statistic,icke-effektiv statistika
inequality coefficient,olikhetskoefficient
inferential statistics,statistisk inferens
infinite divisibility,oändlig delbarhet
infinite population ; infinite universe,oändlig population
inflation factor,uppräkningsfaktor
influence,influens
influence curve,influenskurva
influence function,influensfunktion
influential observation,inflytelserik observation
information,information
information criterion,informationskriterium
information matrix,informationsmatris
information theory,informationsteori
informative censoring,informativ censurering
informative prior,informativ apriorifördelning
inherent bias,inneboende bias
inhomogeneous Poisson process,inhomogen poissonprocess
input/output process,input-output-process
inspection by attribute,attributkontroll
inspection diagram,kontrolldiagram
inspection lot,kontrollparti
instantaneous state,ögonblickstillstånd
instrumental variable,instrumentalvariabel
integer programming,heltalsprogrammering
integrated data,integrerade data
integrated moving average process ; IMA process,IMA-process
integrated spectrum,integrerat spektrum
intensity,intensitet
intensity function,intensitetsfunktion
intensive sampling,intensivt urval
interaction,samspel
interblock,mellanblocks-
intercalate Latin square,inskjuten romersk kvadrat
intercept,intercept; skärning
interclass correlation,mellanklasskorrrelation
interclass variance,mellanklassvarians
interdecile range,decilavstånd
internal validity,intern validitet
internal variance,inomklassvarians
interpenetrating samples (subsamples) ; network of samples,interpenetrerande urval
interpolation,interpolering
interquartile range ; IQR,kvartilavstånd
interval censoring,intervallcensurering
interval distribution,intervallängdsfördelning
interval estimation,intervallskattning
intervention analysis,interventionsanalys
interviewer bias,intervjuarbias
intrablock,inomblocks-
intrablock analysis,inomblocksanalys
intraclass correlation,inomklasskorrelation
intraclass variance,inomklassvarians
intrinsic accuracy,inneboende noggrannhet
invariance,invarians
invariance method,invariansmetod
invariant,invariant
inventory problems,lagerproblem
inverse distribution,invers fördelning
inverse Gaussian distribution ; Wald distribution ; inverse normal distribution,invers normalfördelning
inverse moment,moment av negativ ordning
inverse probability,invers sannolikhet
inverse problems,inversproblem
inverse sampling,invers sampling
inverse sine transformation,arcsinustransformation
inversion,invertering
irreducible Markov chain ; irreducible chain,irreducibel markovkedja
isokurtosis,liktoppighet
isometric chart,isometriskt diagram
isomorphism,isomorfi
isotonic regression function,isotonisk regressionsfunktion
isotropic distribution,isotropisk fördelning
isotropy,isotropi
item analysis,item-analys
iterated bootstrap,itererad bootstrap
iterative weighted least squares,iterativ vägd minsta-kvadratmetod
jackknife,jackknife
jackknife variance estimator,jackknife-variansestimator
joint prediction intervals,simultana prediktionsintervall
joint sufficiency,simultan tillräcklighet
J-shaped distribution,J-formad fördelning
judgment sample,bedömningsurval
jump matrix,hoppmatris
just identified model,exakt identifierad modell
Kalman filter,kalmanfilter
k-class estimator,k-klassestimator
kernel density estimator,kärnestimator
kernel estimate ; kernel estimator,kärnestimat
kernel smoothing in regression,kärnutjämning i regression
k-means clustering,k-medelvärdesklustring
k-ratio,k-kvot
kriging,kriging
k-samples problem,k-sampelproblem
K-test,K-test
kurtosis,toppighet
ladder index,stegindex
ladder variable,stegvariabel
lag,tidsförskjutning; lagg
lag correlation,
lag covariance,
lag regression,regression med tidsförskjutna variabler
Laplace transform,laplace-transform
latent class analysis ; latent trait analysis,latent klass-analys
latent structure,latent struktur
latent variable,latent variabel
Latin cube,romersk kub
Latin rectangle,romersk rektangel
Latin square,romersk kvadrat
lattice design,gitterdesign
lattice distributions,gitterfördelning
lattice square,gitterkvadrat
law of iterated logarithm,itererad logaritm-lag
law of large numbers,stora talens lag
law of small numbers,små talens lag
least significant difference test ; LSD test,LSD-test
least squares estimator,minsta-kvadratestimator
least squares method,minsta-kvadratmetod
left-censoring,vänster-censurering
left-truncation,vänster-trunkering
leptokurtosis,flacktoppighet
L-estimator,L-estimator
level map,nivåkarta
level of a factor,faktornivå
level of interpenetration,interpenetreringsnivå
level of significance ; significance level,signifikansnivå
leverage ; influence ; leverage point,hävstångseffekt
life expectancy,förväntad livslängd
life table,livslängdstabell
lifetime distribution,livslängdsfördelning
likelihood,likelihood
likelihood principle,likelihood-princip
likelihood ratio,likelihood-kvot
likelihood ratio test,likelihood-kvottest
Likert scale,likertskala
limited information estimator,informationsbegränsad estimator
limited information methods,informationsbegränsade  metoder
line of equal distribution ; line of equidistribution,likhetslinje
line sampling,linjesampling
line spectrum,linjespektrum
linear constraint,linjärt bivillkor
linear discriminant function,linjär diskriminantfunktion
linear estimator,linjär estimator
linear failure rate distribution,fördelning med linjär felintensitet
linear hypothesis,linjär hypotes
linear maximum likelihood method,linjär maximum-likelihoodmetod
linear model,linjär modell
linear process,linjär process
linear programming,linjär programmering
linear regression,linjär regression
linear structural relation,linjär strukturekvation
linear sufficiency,linjär tillräcklighet
linear trend ; rectilinear trend,linjär trend
linearised maximum likelihood method ; linearized maximum likelihood method,lineariserad maximum-likelihoodmetod
link function,länkfunktion
linkage,koppling
linkage analysis,kopplingsanalys
linked blocks,kopplade block
linked data,länkade data
linked samples,kopplade stickprov
list sample,listurval
loading,laddning
local asymptotic efficiency,lokal asymptotisk effektivitet
local likelihood estimation,lokal likelihood-skattning
location,läge
location parameter,lägesparameter
log F distribution,log-F-fördelning
log gamma distribution,log-gammafördelning
logarithmic chart ; logarithmic graph,logaritmiskt diagram
logarithmic normal distribution ; lognormal distribution,log-normalfördelning
logarithmic series distribution,logaritmseriefördelning
logarithmic transformation,logaritmisk transformation
log-chi-squared distribution,log-chitvå-fördelning
logistic curve ; Pearl-Read curve,logistika
logistic distribution,logistisk fördelning
logistic process,logistisk process
logistic regression ; linear logistic regression,logistisk regression
logit,logit
log-linear models,log-linjär modell
log-log transformation,log-log-transformation
log-logistic distribution,log-logistisk fördelning
lognormal,log-normal
log-rank test ; Mantel-Haenszel test,log-rangtest
longitudinal survey,longitudinell undersökning
Lorenz curve,lorenzkurva
loss function,förlustfunktion
loss matrix,förlustmatris
loss of information,informationsförlust
lot,parti
lot quality protection,kvalitetsskydd för enskilt parti
lot tolerance per cent defective,högsta tillåtna felkvot i parti
lottery sampling ; ticket sampling,tombolaurval
lower control limit,undre styrgräns
lower quartile,undre kvartil
L-tests,L-test
magic square design,magisk-kvadratförsök
main effect,huvudeffekt
manifold classification ; multiple classification,flerdimensionell klassificering
marginal category,marginalkategori
marginal classification,marginalklassificering
marginal distribution,marginalfördelning
marked point process,märkt punkt-process
marker variable,markörvariabel
Markov chain,markovkedja
Markov chain Monte Carlo ; MCMC,MCMC
Markov field,markovfält
Markov process,markovprocess
martingale,martingal
master sample,basurval
matched samples,matchade urval
matching,matchning
matching coefficient,matchningskoefficient
matching distribution,matchningsfördelning
matrix sampling,matrisurval
maximin criterion,maximin-kriterium
maximum entropy method,maximum entropi-metod
maximum entropy principle,maximum entropi-princip
maximum likelihood estimator ; MLE,maximum likelihood-estimator
maximum likelihood method,maximum likelihood-metod
mean difference,medeldifferens
mean direction,medelriktning
mean range,genomsnittlig variationsvidd
mean residual life,återstående medellivslängd
mean square,medelkvadrat
mean square deviation,medelkvadratavvikelse
mean square error,medelkvadratfel
mean values,medelvärde
measure of location ; measure of central tendency,lägesmått
median,median
median effective dose ; ED50,medianeffektiv dos; ED50
median lethal dose ; lethal dose 50 ; LD50,medianletal dos; LD50
median survival time,medianöverlevnadstid
median test,mediantest
median unbiased confidence interval,medianriktigt konfidensintervall
median unbiasedness,medianriktighet
mesokurtosis,medeltoppighet
M-estimate,M-skattning
M-estimator,M-estimator
meta-analysis,metaanalys
metameter,metameter
method of moments,momentmetod
method of path coefficients ; standardised regression coefficients ; standardized regression coefficients,stigkoefficientmetod
method of steepest ascent,brantaste lutningsmetod
mid-mean,kvartiltrimmat medelvärde
mid-range,variationsområdets mittpunkt
mid-rank method,medelrangmetod
minimal sufficient statistics,minimal tillräcklig statistika
minimax estimation,minimax-skattning
minimax principle,minimax-princip
minimax regret principle,minimax-regret-princip
minimax robust estimator,minimax-robust estimator
minimax strategy,minimax-strategi
minimum chi-squared,minimum chitvå
minimum completeness,minimal fullständighet
minimum variance,minsta varians
misclassification,felklassificering
missing at random ; MAR,slumpmässigt saknat; MAR
missing completely at random ; MCAR,fullständigt slumpmässigt saknat; MCAR
missing data,saknat värde
mixed autoregressive-moving average process ; ARMA process,ARMA-process
mixed distribution,sammansatt fördelning
mixed model,blandad modell
mixed strategy,blandad strategi
mixture distribution,blandfördelning
mixture of distributions,blandning av fördelningar
mode ; modal value,typvärde
model,modell
model I ; first kind model,modell av typ I
model II ; second kind model ; random effects model,modell av typ II
modified binomial distribution,modifierad binomialfördelning
modified control limits,modifierade styrgränser
modified exponential curve,modifierad exponentialkurva
modified Latin square,modifierad romersk kvadrat
modified mean ; modified arithmetic mean ; trimmed mean,modifierat medelvärde
modified normal distributions,modifierad normalfördelning
moment ; moment coefficient ; power moment,moment
moment estimator,momentestimator
moment generating function,momentgenererande funktion
moment matrix,momentmatris
moment ratio,momentkvot
monotone likelihood ratio,monoton likelihood-kvot
monotone regression,monoton regression
Monte Carlo method,Monte Carlo-metod
monthly average,månadsmedelvärde
morphometrics,morfometri
most efficient estimator,effektivaste estimator
most powerful critical region,starkaste kritiska område
most powerful rank test,starkaste rangtest
most powerful test,starkaste test
most stringent test,mest stringenta test
moving annual total,glidande årssumma
moving average,glidande medelvärde
moving average method,glidande medelvärdesmetod
moving average model,glidande medelvärdesmodell
moving average process ; Slutsky process,glidande medelvärdesprocess
moving range,glidande variationsvidd
moving seasonal variation,glidande säsongvariation
moving summation process,glidande summationsprocess
moving total,glidande summa
moving weights,glidande viktsystem
multicollinearity,multikollinearitet
multi-dimensional scaling,flerdimensionell skalning
multi-equational model ; simultaneous equations model,flerekvationsmodell
multi-factorial design,flerfaktor-design
multilinear process,multilinjär process
multi-modal distribution,flertoppig fördelning
multinomial distribution,multinomialfördelning
multi-phase sampling,flerfasurval
multiple bar chart,grupperat stapeldiagram
multiple comparisons,multipla jämförelser
multiple decision methods,multipel beslutsmetod
multiple decision problem,multipelt beslutsproblem
multiple factor analysis,multipel faktoranalys
multiple imputation,multipel imputering
multiple Markov process,multipel markovprocess
multiple phase process,flerfasprocess
multiple Poisson distribution,multipel poissonfördelning
multiple Poisson process,multipel poissonprocess
multiple regression,multipel regression
multiple sampling,multipel provtagning
multiple stratification,multipel stratifiering
multiple time series,multipel tidsserie
multiplicity,multiplicitet
multi-stage sample ; multi-stage sampling,flerstegsurval
multistate model,flertillståndsmodell
multi-temporal model,multi-temporal modell
multi-valued decision,flervärdesbeslut
multivariate analysis,multivariat analys
multivariate analysis of variance table ; MANOVA table,MANOVA-tabell
multivariate beta distribution,multivariat betafördelning
multivariate binomial distribution,multivariat binomialfördelning
multivariate distribution ; joint distribution,flerdimensionell fördelning; multivariat fördelning
multivariate exponential distribution,flerdimensionell exponentialfördelning
multivariate F-distribution,flerdimensionell F-fördelning
multivariate multinomial distribution,flerdimensionell multinomialfördelning
multivariate negative binomial distribution ; negative multinomial distribution,flerdimensionell negativ binomialfördelning
multivariate normal distribution,flerdimensionell normalfördelning
multivariate processes,multivariat process
multivariate quality control,multivariat kvalitetskontroll
multivariate signed rank test,multivariat tecken-rangtest
mutability ; variability,variabilitet
natural conjugate prior,naturlig konjugerad apriorifördelning
nearest-neighbour clustering ; single-linkage clustering,närmaste-granneklustring
nearest-neighbour methods,närmaste-grannemetod
nearly best linear estimator,nästan bästa linjära estimator
negative hypergeometric distribution,negativ hypergeometrisk fördelning
negative moments,moment av negativ ordning
nested balanced incomplete block design,nästlad design med balanserade ofullständiga block
nested case-control studies,nästlade fall-kontrollstudier
nested design,nästlad design
nested hypotheses,nästlade hypoteser
nested methods,nästlad metod
network sampling,nätverksurval
neural network,neuralt nätverk
new better than used distribution ; NBU distribution,NBU-fördelning
noise,brus
nomogram ; nomograph,nomogram
non-central beta distribution,icke-central betafördelning
non-central chi-square distribution ; non-central χ² distribution ; Rice distribution,icke-central chitvå-fördelning
non-central confidence interval,icke-centralt konfidensintervall
non-central F-distribution,icke-central F-fördelning
non-central multivariate beta distribution,icke-central flerdimensionell betafördelning
non-central multivariate F-distribution,icke-central flerdimensionell F-fördelning
non-central t-distribution,icke-central t-fördelning
non-centrality parameter,parameter för icke-centralitet
non-compliance ; non-adherence,icke-följsamhet
non-ignorable non-response,icke-ignorerbart bortfall
nonlinear regression ; nonlinear model ; curvilinear regression ; skew regression,icke-linjär regression
non-normal population,icke-normalfördelad population
non-parametric,icke-parametrisk
non-parametric confidence intervals,icke-parametriskt konfidensintervall
non-parametric delta method,icke-parametrisk deltametod
non-parametric maximum likelihood,icke-parametrisk maximum likelihood
non-parametric tolerance limits,icke-parametriska toleransgränser
non-random sample,icke-slumpmässigt stickprov
non-recurrent state,icke återkommande tillstånd
non-regular estimator,icke-reguljär estimator
non-response,bortfall
non-sampling error,icke-urvalsfel
non-singular distribution,icke-singulär fördelning
normal deviate ; Normit,värde på standardiserad normalfördelning
normal distribution ; Gaussian distribution ; Laplace-Gauss distribution ; Gauss distribution ; second law of Laplace,normalfördelning
normal equations,normalekvationer
normal inspection,normal kontroll
normal probability paper,normalfördelningspapper
normal scores tests,normalscore-test
normalisation of frequency function ; normalization of frequency function,normalisering av frekvensfunktion
normalisation of scores ; normalization of scores,poängnormalisering
normalising transformation ; normalizing transformation,normaliserande transformation
nuisance parameters,störparameter
null hypothesis,nollhypotes
null recurrent state ; transient state,transient tillstånd
numerical taxonomy ; taxonometry,numerisk taxonomi
oblimax,oblimax
oblique factor,oblik faktor
observable variable,observerbar variabel
observational error,observationsfel
observational study,observationsstudie
observed at random ; OAR,slumpmässigt observerat
observed information matrix,observerad informationsmatris
occupancy problems,beläggningsproblem
octiles,oktiler
odds,odds
official statistics,officiell statistik
one-way classification,envägsindelning
open sequential scheme,öppen sekventiell urvalsplan
open-ended classes,öppen klass
open-ended question,öppen fråga
operating characteristic,acceptanssannolikhet
operational research (br.) ; operations research (am.),operationsanalys
opinion survey ; opinion poll,opinionsundersökning
optimal stopping rule,optimal stoppregel
optimum allocation,optimal allokering
optimum linear predictor,optimal linjär prediktor
optimum stratification,optimal stratifiering
optimum test,optimalt test
order of interaction,samspelsordning
order of stationarity,stationaritetsordning
order statistics,ordningsstatistika
ordered alternative hypothesis,ordnad mothypotes
ordered categorisation ; ordered categorization,ordnad kategorisering
orderly stationary point process ; regular stationary point process,reguljär stationär punktprocess
orthogonal,ortogonal
orthogonal arrays,ortogonal uppställning
orthogonal design,ortogonal design
orthogonal functions,ortogonala funktioner
orthogonal polynomials,ortogonala polynom
orthogonal process,ortogonal process
orthogonal projection,ortogonal projektion
orthogonal regression,ortogonal regression
orthogonal squares,ortogonala kvadrater
orthogonal tests ; independent tests,ortogonala test
orthogonal variable transformation,ortogonal variabeltransformation
orthonormal system,ortonormalt system
oscillation,svängning
oscillatory process,oscillerande process
outcome,utfall
outlier prone distribution,outlier-benägen fördelning
outliers,outlier; avvikande värde
overdispersion,överdispersion
over-identification,överidentifiering
overlapping sampling units,överlappande urvalsenheter
paired comparison,parvis jämförelse
paired t-test,parat t-test
pairwise independence,parvist oberoende
panel data,paneldata
panel study,panelstudie
parallel line assay,parallell-linje-assay
parameter,parameter
parameter of location,lägesparameter
parameter of scale,skalparameter
parameter orthogonality,parameterortogonalitet
parameter point,parameterpunkt
parametric hypothesis ; parameter hypothesis,parametrisk hypotes
parametric programming,parametrisk programmering
partial association,partiellt samband
partial confounding,partiell confounding
partial contingency,partiell kontingens
partial correlation,partiell korrelation
partial correlogram,partiellt korrelogram
partial least squares ; PLS,partiell minsta-kvadrat
partial rank correlation,partiell rangkorrelation
partial regression,partiell regression
partial replacement,partiell återläggning
partial serial correlation ; partial autocorrelation,partiell autokorrelation
partially balanced arrays,partiellt balanserad uppställning
partially balanced incomplete block design,partiellt balanserad ofullständig block-design
partially balanced lattice,partiellt balanserat gitter
partially balanced linked block design,partiellt balanserad kopplad block-design
partially consistent observations,partiellt konsistenta observationer
partially linked block design,partiellt kopplad block-design
partition of chi-squared ; partition of χ²,uppspjälkning av chi-två
path analysis,stiganalys
pattern recognition,mönsterigenkänning
patterned sampling ; systematic sample,systematiskt urval
pay-off matrix,betalmatris
peak ; peak value,toppvärde
penalised estimation ; penalized estimation,penaliserad estimation
penalised least squares ; penalized least squares,penaliserat minsta-kvadratkriterium
penalised likelihood ; penalized likelihood,penaliserad likelihood
penalised quasi-likelihood ; penalized quasi-likelihood,penaliserad kvasi-likelihood
percentage diagram,procentdiagram
percentage distribution,procentuell fördelning
percentile confidence interval,percentilbaserat konfidensintervall
percolation process,perkolationsprocess
performance characteristic,prestandaegenskap
period,period
period of a state,period för tillstånd
periodic process,periodisk process
periodogram ; Schuster periodogram,periodogram
permissible estimator,tillåten skattning
persistency,persistens
persistent state ; positive recurrent state,persistent tillstånd
person-years,personår
perturbation techniques,perturbationsteknik
phase,fas
phase diagram,fasdiagram
phase function,fasfunktion
phase spectrum,fasspektrum
pictogram,piktogram
piecewise regression ; segmented regression,styckvis regression
pilot survey ; pilot sample,provundersökning; pilotundersökning
pivotal quantity,pivåvariabel
placebo,placebo
platykurtosis,lågtoppighet
plot,plott; provyta
point biserial correlation,punktbiserial korrelation
point bivariate distribution ; bivariate distribution of two discrete variables,diskret bivariat fördelning
point estimation,punktskattning
point of control ; point of indifference,indifferenspunkt
point process,punktprocess
point sampling,punkturval
polychoric correlation,polykorisk korrelation
polycross designs,polycross-design
polynomial regression,polynomregression
polynomial trend,polynomtrend
polyspectra,polyspektrum
polytomic table,polytom tabell
pooling of classes,klass-sammanslagning
pooling of error,poolning av fel
population genetics,populationsgenetik
positive binomial distribution,positiv binomialfördelning
positive hypergeometric distribution,positiv hypergeometrisk fördelning
positive skewness,positiv snedhet
posterior probability,aposteriorisannolikhet
power ; strength of a test,styrka
power function,styrkefunktion
power spectrum ; spectral function,spektralfunktion
power transformation,potenstransformation
P-P plot,P-P-plott
precedence test,underskottstest
precision,precision
precision matrix,precisionsmatris
predetermined variable,förutbestämd variabel
prediction interval,prediktionsintervall
predictive decomposition,prediktiv spjälkning
predictive inference,prediktiv inferens
predictive likelihood,prediktiv likelihood
predictive regression analysis,prediktiv regressionsanalys
preference table,preferenstabell
prevalence ; prevalence rate,prevalens
pre-whitening,för-blekning
price compensation index,priskompensationsindex
price index,prisindex
price relative,relativpris
primary unit,primärenhet
principal components,principalkomponent
principal components regression,principalkomponentregression
principal coordinates analysis,principalkoordinatanalys
prior probability ; a priori probability,apriorisannolikhet
priority queuing,prioriterad köordning
probability,sannolikhet
probability density function ; PDF ; frequency function,täthetsfunktion
probability distribution,sannolikhetsfördelning
probability element,sannolikhetselement
probability limits,sannolikhetsgräns
probability mass,sannolikhetsmassa
probability paper,sannolikhetspapper
probability plot,sannolikhetsdiagram
probability ratio test,likelihood-kvottest
probability sampling,sannolikhetsurval
probability surface,sannolikhetsyta
probit,probit
probit analysis,probitanalys
probit regression line,probitregression
procedural bias,procedur-bias
process average fraction defective,genomsnittlig felkvot för process
processing error,bearbetningsfel
producer's risk,producentrisk
product moment ; joint moment ; multivariate moment,produktmoment
product moment correlation ; Pearson coefficient of correlation,produktmomentkorrelation
profile analysis ; analysis of variance of longitudinal data,profilanalys
profile likelihood,profil-likelihood
prognostic factor,prognostisk faktor
progressive average,progressivt medelvärde
progressively censored sampling,progressivt censurerat urval
projection,projektion
proper distribution,egentlig fördelning
proportional frequency,relativ frekvens
proportional hazards model ; Cox model,proportionell-hasardmodell
proportional odds model,proportionella-oddsmodell
proportional sampling,proportionellt urval
prospective study ; historical prospective study,prospektiv studie
protocol,protokoll
proximity analysis,proximitetsanalys
pseudo-factor,pseudofaktor
pseudo-likelihood,pseudo-likelihood
pseudo-random numbers,pseudoslumptal
pseudo-spectrum,pseudospektrum
psychometrics,psykometri
publication bias,publicerings-bias
pure birth process,födelseprocess
pure random process ; random process ; stochastic process ; stable process (distribution) ; stationary process ; stationary stochastic process,stokastisk process
pure strategy,enkel strategi
purposive sample,bedömningsurval; avsiktsbaserat urval
p-value,p-värde
Q-Q plot,Q-Q-plot
Q-technique,Q-teknik
quadrat,kvadrat
quadratic estimator,kvadratisk skattningsfunktion
quadratic exponential model,kvadratisk exponentialmodell
quadratic form,kvadratisk form
quadratic mean,kvadratiskt medel
quadratic programming,kvadratisk programmering
quadratic response,kvadratisk respons
quadrature spectrum,kvadraturspektrum
qualitative data,kvalitativa data
qualitative interaction,kvalitativt samspel
quality adjusted life year,kvalitetsjusterade levnadsår
quality control ; quality inspection ; statistical quality control,kvalitetsstyrning; kvalitetskontroll
quality control chart,kvalitetsstyrdiagram
quality of life,livskvalitet
quantal response,kategori-indelad respons
quantitative data,kvantitativa data
quantitative response,kvantitativ respons
quantity relative,relativkvantitet
quantum index,kvantitetsindex
quartile,kvartil
quartile deviation ; semi-interquartile range,kvartilavvikelse
quartile measure of skewness,kvartilbaserat snedhetsmått
quartile variation,kvartilvariation
quasi-compact cluster,kvasikompakt kluster
quasi-experiments,kvasiexperiment
quasi-factorial design,kvasifaktoriell försöksplan
quasi-independence,kvasioberoende
quasi-Latin square,kvasi-romersk kvadrat
quasi-likelihood,kvasi-likelihood
quasi-Markov chain,kvasi-markovkedja
quasi-median,kvasimedian
questionnaire ; schedule,frågeformulär
queueing problem,köproblem
quintiles,kvintil
quota sample,kvotasampel
quotient regression,kvotregression
radix,radix
raising factor,uppräkningsfaktor
random,slumpmässig; slump-
random coefficient model,modell med slumpmässiga koefficienter
random component,slumpkomponent
random error,slumpfel; slumpmässigt fel
random event,slumphändelse
random impulse process,process med slumpmässiga impulser
random linear graph,linjär slumpgraf
random number generator,slumptalsgenerator
random order,slumpmässig ordning
random sample,slumpmässigt stickprov
random sampling numbers ; random numbers ; random digits,slumptal
random selection,slumpurval
random series,slumpserie
random start,slumpmässig start
random walk,slumpvandring
randomisation ; randomization,randomisering
randomisation tests ; randomization tests ; permutation tests,randomiseringstest
randomised blocks ; randomized blocks,randomiserade block
randomised decision function ; randomized decision function,randomiserad beslutsfunktion
randomised fractional factorial designs ; randomized fractional factorial designs,randomiserad fraktionell faktoriell design
randomised response ; randomized response,randomiserad respons
range,variationsvidd
range chart,variationsviddsdiagram
rank,rang
rank correlation,rangkorrelation
rank order statistics,rangstatistika
rank scores ; rank transformation,rangtal
rankit,rankit
rank-randomisation tests ; rank-randomization tests,randomiserat test baserat på rang
rank-weighted mean,rang-vägt medelvärde
ratio,kvot
ratio estimator,kvotestimator
ratio scale,kvotskala
raw moment,råmoment
raw score,råpoäng
realisation ; realization,realisering
records tests,rekordtest
recovery of information,informationsåtervinnande
rectangular distribution ; uniform distribution,likformig fördelning
rectangular lattice,rektangulärt gitter
rectified index number,rektifierat indextal
rectifying inspection,kontroll följd av rättning
recurrence time,återkomsttid
recurrent Markov chain,rekurrent markovkedja
recurrent state,återkommande tillstånd
recursive algorithm,rekursiv algoritm
recursive system,rekursivt system
reduced design,reducerad design
reduced equations,reducerade ekvationer
reduced inspection,reducerad kontroll
reduced sample,reducerat stickprov
reduction of data,reducering av data
reference prior distribution,referens-apriorifördelning
reflecting barrier,reflekterande barriär
refusal rate,andel vägrare
regenerative process,regenerativ process
regression,regression
regression coefficient ; regression weight,regressionskoefficient
regression curve ; regression line,regressionskurva
regression diagnostics,regressionsdiagnostik
regression estimate,regressionsskattning
regression surface,regressionsyta
regressogram,regressogram
regret,ånger; regret
regular estimator,reguljär skattning
regular state,reguljärt tillstånd
rejection line,avvisningslinje
rejection number,avvisningstal
relative efficiency (of a sample design),relativ effektivitet
relative efficiency (of a test) ; power efficiency,relativ effektivitet (av ett test)
relative efficiency (of an estimator),relativ effektivitet (av en estimator)
relative frequency,relativ frekvens
relative information,relativ information
relative potency,relativ potens
relative precision,relativ precision
relative risk ; odds ratio,relativ risk
relative variance ; relvariance,relativ varians
reliability,reliabilitet; tillförlitlighet
reliability coefficient ; self-correlation coefficient,reliabilitetskoefficient
REML ; reduced maximum likelihood ; restricted maximum likelihood,reducerad maximum likelihood
remote sensing,fjärranalys
renewal density,förnyelsetäthet
renewal distribution,förnyelsefördelning
renewal function,förnyelsefunktion
renewal process,förnyelseprocess
renewal theorem,förnyelsesats
renewal theory,förnyelseteori
repeated survey,upprepad undersökning
repetition,upprepning
replacement,återläggning
replication,replikation
representative sample,representativt urval
reproducibility,reproducerbarhet
resampling procedure,återsamplingsförfarande
residual,residual
